
{ time: '12:34:19', cpu: 0.65, ram: 9.22, disk: 1, smart: 'OK', cpuTemp: 40.3, gpuTemp: 47, netRx: 1, netTx: 1 },
{ time: '12:34:21', cpu: 0, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:22', cpu: 0.65, ram: 9.22, disk: 1, smart: 'OK', cpuTemp: 40.3, gpuTemp: 47, netRx: 1, netTx: 0 },
{ time: '12:34:23', cpu: 0.15, ram: 9.22, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:24', cpu: 0, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:25', cpu: 0, ram: 9.22, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 1 },
{ time: '12:34:26', cpu: 0, ram: 9.23, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:27', cpu: 0.2, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:28', cpu: 0, ram: 9.22, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 1 },
{ time: '12:34:29', cpu: 0.05, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:30', cpu: 0, ram: 9.21, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:31', cpu: 0.2, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 47, netRx: 0, netTx: 1 },
{ time: '12:34:32', cpu: 0, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:33', cpu: 0.1, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:34', cpu: 0.05, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 1, netTx: 2 },
{ time: '12:34:35', cpu: 0, ram: 9.23, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:36', cpu: 0.05, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 2 },
{ time: '12:34:37', cpu: 0, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:39', cpu: 0, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:34:40', cpu: 0.3, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:34:41', cpu: 0, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:34:42', cpu: 0.2, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:34:43', cpu: 0.15, ram: 9.28, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 47, netRx: 0, netTx: 2 },
